Название тега,Цвет,Количество тем,Уникальных авторов,Общих просмотров,Средний рейтинг тем,Популярность
Python,#3776ab,1,1,1,0.0,Низкая
Django,#092e20,0,0,0,0,Не используется
JavaScript,#f7df1e,0,0,0,0,Не используется
HTML,#e34f26,0,0,0,0,Не используется
CSS,#1572b6,0,0,0,0,Не используется
Базы данных,#4479a1,1,1,1,0.0,Низкая
SQL,#e38c00,1,1,1,0.0,Низкая
PostgreSQL,#336791,0,0,0,0,Не используется
Веб-разработка,#20c20e,1,1,21,4.5,Низкая
Фронтенд,#ff6b6b,2,1,16,0.0,Низкая
Бэкенд,#4ecdc4,1,1,1,0.0,Низкая
API,#ff9f1c,1,1,1,0.0,Низкая
Аутентификация,#6a0572,0,0,0,0,Не используется
Безопасность,#ff0000,0,0,0,0,Не используется
Оптимизация,#00b894,1,1,1,0.0,Низкая
Тестирование,#0984e3,1,1,1,0.0,Низкая
Отладка,#6c5ce7,0,0,0,0,Не используется
Docker,#0db7ed,0,0,0,0,Не используется
Git,#f05032,1,1,1,0.0,Низкая
Алгоритмы,#a29bfe,0,0,0,0,Не используется
Другое,#ff6b6b,0,0,0,0,Не используется
